Marca temporal,Dirección de correo electrónico,Nombre,Edad,¿En qué zona vivís?,Ocupación,¿Cómo nos conociste?,¿Con qué frecuencia asistís a estas varietés?,¿Asistís a eventos similares de otros centros culturales?,¿Colaboraste con la gorra?,¿Consumiste algo en la barra?,¿Qué es lo que más te gusta de La Gran Siete?,¿Qué mejorarías en estos eventos?
9/05/2025 17:06:36,eduardo.gimenez@mail.com,Eduardo Giménez,1985,Recoleta,Arquitecto,Otros: Internet,Ocasionalmente,No,Sí - con QR / transferencia,Sí,Los espectáculos,Más butacas
10/05/2025 17:06:36,lucia.paz@mail.com,Lucía Paz,1993,Palermo,Psicóloga,Redes Sociales,Frecuentemente,Frecuentemente,Sí - en efectivo,No,Ambiente y comunidad,Más talleres
11/05/2025 17:06:36,juan.cruz@mail.com,Juan Cruz,1988,Caballito,Programador,Amigos / Familiares,Ocasionalmente,No,Sí - con QR / transferencia,Sí,Los espectáculos,Más horarios
12/05/2025 17:06:36,florencia.herrera@mail.com,Florencia Herrera,1995,Almagro,Diseñadora gráfica,Volantes / carteles,Es mi primera vez,Ocasionalmente,No pude,Los talleres,Más variedad,
13/05/2025 17:06:36,gabriel.sosa@mail.com,Gabriel Sosa,1984,Belgrano,Estudiante,Invitado por alguien del espacio,Frecuentemente,Frecuentemente,Sí - en efectivo,Sí,La calidad/precios de los alimentos/bebidas,Más opciones veganas
14/05/2025 17:06:36,natalia.romero@mail.com,Natalia Romero,1991,Villa Crespo,Psicóloga,Otros: Prensa,Ocasionalmente,No,Sí - con QR / transferencia,No,Ambiente y comunidad,Más espacios
15/05/2025 17:06:36,martin.gonzalez@mail.com,Martín González,1986,Congreso,Músico,Redes Sociales,Frecuentemente,Ocasionalmente,Sí - en efectivo,Sí,Los espectáculos,Mejor sonido
16/05/2025 17:06:36,carolina.silva@mail.com,Carolina Silva,1993,Colegiales,Profesora,Amigos / Familiares,Es mi primera vez,No,No pude,Los talleres,Más interacción,
17/05/2025 17:06:36,franco.ramirez@mail.com,Franco Ramírez,1988,San Telmo,Chef,Invitado por alguien del espacio,Ocasionalmente,Frecuentemente,Sí - con QR / transferencia,Sí,La calidad/precios de los alimentos/bebidas,Más bebidas
18/05/2025 17:06:36,daniela.torres@mail.com,Daniela Torres,1997,Boedo,Periodista,Volantes / carteles,Frecuentemente,Ocasionalmente,Sí - en efectivo,No,Ambiente y comunidad,Más eventos
19/05/2025 17:06:36,alejandro.ruiz@mail.com,Alejandro Ruiz,1984,Recoleta,Arquitecto,Otros: Internet,Ocasionalmente,No,Sí - con QR / transferencia,Sí,Los espectáculos,Más butacas
